TIPO	LEMMA	ABS_FREQ	FREQ_IN_CXN	LOGL
gruppo3	iniziatiche	38	0	0
gruppo3	iniziatici	51	0	0
gruppo3	iniziatico	269	0	0
gruppo3	iniziato	1077	0	0
gruppo3	iniziatore	25	0	0
gruppo3	innamorato	544	0	0
gruppo3	innanzi	72	0	0
gruppo3	innevata	43	0	0
gruppo3	innevate	127	0	0
gruppo3	innevati	40	0	0
gruppo3	innevato	40	0	0
gruppo3	innocente	10452	0	0
gruppo3	innovativo	4980	0	0
gruppo3	innovatore	435	0	0
gruppo3	innumerevole	3110	0	0
gruppo3	inoltrato	718	0	0
gruppo3	inoptati	63	0	0
gruppo3	inquadrabile	35	0	0
gruppo3	inquinante	2261	0	0
gruppo3	inquinato	737	0	0
gruppo3	inquirente	4178	0	0
gruppo3	inquisitore	133	0	0
gruppo3	inquisitoriale	23	0	0
gruppo3	inquisitorio	361	0	0
gruppo3	insaccato	29	0	0
gruppo3	inseguitore	88	0	0
gruppo3	inseribile	33	0	0
gruppo3	inserito	1242	0	0
gruppo3	inside	55	0	0
gruppo3	insidioso	1987	0	0
gruppo3	insigne	815	0	0
gruppo3	insinuante	334	0	0
gruppo3	insistente	2876	0	0
gruppo3	insistette	27	0	0
gruppo3	insito	728	0	0
gruppo3	insonnolito	66	0	0
gruppo3	insorgente	49	0	0
gruppo3	institute	94	0	0
gruppo3	insulare	239	0	0
gruppo3	insulino-dipendente	29	0	0
gruppo3	insulso	325	0	0
gruppo3	insurrezionale	171	0	0
gruppo3	intatto	4848	0	0
gruppo3	integerrimo	353	0	0
gruppo3	integrabile	79	0	0
gruppo3	integrale	3968	0	0
gruppo3	integralista	1699	0	0
gruppo3	integrante	1583	0	0
gruppo3	integrativo	4636	0	0
gruppo3	integrato	1831	0	0
gruppo3	integrista	25	0	0
gruppo3	integro	1096	0	0
gruppo3	intellegibile	40	0	0
gruppo3	intellettivo	216	0	0
gruppo3	intellettuale	11592	0	0
gruppo3	intellettualistico	222	0	0
gruppo3	intellettualmente	38	0	0
gruppo3	intelligence	38	0	0
gruppo3	intelligente	11554	12	17.94686
gruppo3	intelligibile	76	0	0
gruppo3	intendente	27	0	0
gruppo3	intensivo	1334	0	0
gruppo3	intenso	14324	0	0
gruppo3	intento	496	0	0
gruppo3	intenzionale	357	0	0
gruppo3	intenzionato	5633	0	0
gruppo3	inter-etnici	26	0	0
gruppo3	interafricana	30	0	0
gruppo3	interamericana	21	0	0
gruppo3	interaraba	30	0	0
gruppo3	interattiva	476	0	0
gruppo3	interattive	113	0	0
gruppo3	interattivi	262	0	0
gruppo3	interattivo	430	0	0
gruppo3	interaziendale	53	0	0
gruppo3	interbancario	1059	0	0
gruppo3	intercity	23	0	0
gruppo3	interclassista	140	0	0
gruppo3	intercompartimentale	81	0	0
gruppo3	intercomunale	64	0	0
gruppo3	interconfederale	125	0	0
gruppo3	interconfessionale	41	0	0
gruppo3	interconnesse	27	0	0
gruppo3	intercontinentale	1404	0	0
gruppo3	intercostale	32	0	0
gruppo3	interculturale	35	0	0
gruppo3	interdetto	501	0	0
gruppo3	interdipendente	230	0	0
gruppo3	interdisciplinare	388	0	0
gruppo3	interdittive	28	0	0
gruppo3	interessante	23035	1233	11124.78847
gruppo3	interetnica	88	0	0
gruppo3	interetniche	60	0	0
gruppo3	interetnici	112	0	0
gruppo3	interetnico	82	0	0
gruppo3	intergenerazionale	42	0	0
gruppo3	intergovernativa	651	0	0
gruppo3	intergovernative	81	0	0
gruppo3	intergovernativi	50	0	0
gruppo3	intergovernativo	77	0	0
gruppo3	interinale	782	0	0
gruppo3	interiore	3267	0	0
gruppo3	interista	597	0	0
gruppo3	interiste	30	0	0
gruppo3	interisti	148	0	0
gruppo3	interlocutorio	1308	0	0
gruppo3	intermediario	587	0	0
gruppo3	intermediati	81	0	0
gruppo3	intermediato	22	0	0
gruppo3	intermedio	4220	0	0
gruppo3	interminabile	4203	0	0
gruppo3	interministeriale	2097	0	0
gruppo3	intermittente	620	0	0
gruppo3	intermodale	71	0	0
gruppo3	intermodali	31	0	0
gruppo3	internato	68	0	0
gruppo3	internazionale	102049	0	0
gruppo3	internazionalista	186	0	0
gruppo3	internet	105	0	0
gruppo3	interno	50999	0	0
gruppo3	interno'	34	0	0
gruppo3	intero	64016	0	0
gruppo3	interparlamentare	135	0	0
gruppo3	interpartitico	26	0	0
gruppo3	interpersonale	374	0	0
gruppo3	interplanetario	137	0	0
gruppo3	interpretabile	143	0	0
gruppo3	interpretativo	2448	0	0
gruppo3	interprofessionale	36	0	0
gruppo3	interprovinciale	77	0	0
gruppo3	interrazziale	51	0	0
gruppo3	interrazziali	34	0	0
gruppo3	interregionale	511	0	0
gruppo3	interreligioso	138	0	0
gruppo3	interrogante	58	0	0
gruppo3	interrogativo	5080	0	0
gruppo3	interrogato	445	0	0
gruppo3	interscambiabili	49	0	0
gruppo3	intersettoriale	23	0	0
gruppo3	intersettoriali	24	0	0
gruppo3	intersindacale	34	0	0
gruppo3	interstatale	29	0	0
gruppo3	interstatali	28	0	0
gruppo3	interstellare	72	0	0
gruppo3	interstiziale	41	0	0
gruppo3	intertedesca	79	0	0
gruppo3	intertedesche	25	0	0
gruppo3	intertedeschi	52	0	0
gruppo3	intertedesco	51	0	0
gruppo3	interuniversitario	23	0	0
gruppo3	interurbano	533	0	0
gruppo3	interventista	271	0	0
gruppo3	intervenuto	350	0	0
gruppo3	intervistato	411	0	0
gruppo3	intestato	441	0	0
gruppo3	intestinale	771	0	0
gruppo3	intestino	730	0	0
gruppo3	intiero	132	0	0
gruppo3	intimidatorio	946	0	0
gruppo3	intimidatrice	47	0	0
gruppo3	intimista	245	0	0
gruppo3	intimistico	113	0	0
gruppo3	intimo	5737	0	0
gruppo3	intirizzita	21	0	0
gruppo3	intirizziti	30	0	0
gruppo3	intossicato	127	0	0
gruppo3	intramuscolare	45	0	0
gruppo3	intraprendente	1163	0	0
gruppo3	intrauterina	28	0	0
gruppo3	intravista	125	0	0
gruppo3	intrecciata	361	0	0
gruppo3	intricato	1832	0	0
gruppo3	intrigante	1139	0	0
gruppo3	intrinseco	1043	0	0
gruppo3	intriso	675	0	0
gruppo3	introdotto	761	0	0
gruppo3	introduttivo	1148	0	0
gruppo3	introspettivo	157	0	0
gruppo3	introverso	696	0	0
gruppo3	intrusivo	71	0	0
gruppo3	intruso	109	0	0
gruppo3	intuibile	328	0	0
gruppo3	intuitivo	346	0	0
gruppo3	invadente	1045	0	0
gruppo3	invalso	60	0	0
gruppo3	invasato	198	0	0
gruppo3	invasiva	84	0	0
gruppo3	invasive	38	0	0
gruppo3	invasivi	30	0	0
gruppo3	invasivo	74	0	0
gruppo3	invaso	372	0	0
gruppo3	inventato	720	0	0
gruppo3	inventivo	1033	0	0
gruppo3	inverecondo	123	0	0
gruppo3	invernale	3165	0	0
gruppo3	invertito	254	0	0
gruppo3	investigativo	3842	0	0
gruppo3	investitore	1233	0	0
gruppo3	invidiabile	1135	0	0
gruppo3	invidioso	671	0	0
gruppo3	inviso	573	0	0
gruppo3	invitante	517	0	0
gruppo3	invitato	756	0	0
gruppo3	involutivo	106	0	0
gruppo3	inziale	53	0	0
gruppo3	inziali	21	0	0
gruppo3	iracheno	10362	0	0
gruppo3	iracondo	87	0	0
gruppo3	irae	46	0	0
gruppo3	irakeno	170	0	0
gruppo3	iraniano	7276	0	0
gruppo3	iranico	45	0	0
gruppo3	irascibile	304	0	0
gruppo3	irato	269	0	0
gruppo3	iridato	562	0	0
gruppo3	iridescente	105	0	0
gruppo3	irlandese	4967	0	0
gruppo3	ironico	7096	0	0
gruppo3	iroso	124	0	0
gruppo3	irpina	92	0	0
gruppo3	irpini	44	0	0
gruppo3	irpino	140	0	0
gruppo3	irridenti	129	0	0
gruppo3	irriguo	91	0	0
gruppo3	irrisorio	1080	0	0
gruppo3	irritabile	141	0	0
gruppo3	irritante	922	6	28.84586
gruppo3	irrito	128	0	0
gruppo3	irruenta	43	0	0
gruppo3	irruente	252	0	0
gruppo3	irruento	138	0	0
gruppo3	irsuto	121	0	0
gruppo3	irto	616	0	0
